id_venta,producto,precio,cantidad,fecha_venta,categoria
792,Cuadro decorativo,$69.94,5,02/01/2024,Decoración
811,Lámpara de mesa,$105.10,5,02/01/2024,Decoración
1156,Secadora,$97.96,3,02/01/2024,Electrodomésticos
1372,Heladera,$114.35,8,02/01/2024,Electrodomésticos
1546,Secadora,$106.21,4,02/01/2024,Electrodomésticos
1697,Horno eléctrico,$35.35,9,02/01/2024,Electrodomésticos
1710,Plancha de vapor,$65.43,2,02/01/2024,Electrodomésticos
2959,Proyector,$88.17,9,02/01/2024,Electrónica
318,Rincón de plantas,$79.86,11,03/01/2024,Decoración
419,Candelabro,$66.11,8,03/01/2024,Decoración
1374,Aspiradora,$95.90,5,03/01/2024,Electrodomésticos
1571,Freidora eléctrica,$111.18,1,03/01/2024,Electrodomésticos
1814,Aspiradora,$70.91,2,03/01/2024,Electrodomésticos
2769,Proyector,$43.62,11,03/01/2024,Electrónica
2794,Tablet,$67.97,9,03/01/2024,Electrónica
2824,Tablet,$74.09,5,03/01/2024,Electrónica
446,Cortinas,$62.10,4,04/01/2024,Decoración
630,Adorno de pared,$71.99,9,04/01/2024,Decoración
794,Jarrón decorativo,$96.97,7,04/01/2024,Decoración
882,Cuadro decorativo,$101.92,9,04/01/2024,Decoración
969,Candelabro,$90.70,12,04/01/2024,Decoración
1445,Lavadora,$28.41,10,04/01/2024,Electrodomésticos
1971,Freidora eléctrica,$122.25,11,04/01/2024,Electrodomésticos
2209,Proyector,$32.15,1,04/01/2024,Electrónica
256,Cortinas,$86.82,8,05/01/2024,Decoración
606,Cortinas,$106.66,11,05/01/2024,Decoración
704,Jarrón decorativo,$57.22,9,05/01/2024,Decoración
1362,Heladera,$109.49,11,05/01/2024,Electrodomésticos
2155,Auriculares,$84.80,10,05/01/2024,Electrónica
2947,Cámara digital,$107.78,3,05/01/2024,Electrónica
1495,Lavadora,$38.99,6,06/01/2024,Electrodomésticos
1572,Cafetera,$61.40,9,06/01/2024,Electrodomésticos
2180,Consola de videojuegos,$102.57,9,06/01/2024,Electrónica
2487,Cámara digital,$50.76,3,06/01/2024,Electrónica
2603,Smartphone,$87.05,5,06/01/2024,Electrónica
2885,Auriculares,$100.40,6,06/01/2024,Electrónica
17,Elementos de cerámica,$108.48,11,07/01/2024,Decoración
183,Espejo decorativo,$82.76,8,07/01/2024,Decoración
560,Adorno de pared,$57.62,6,07/01/2024,Decoración
632,Cuadro decorativo,$30.49,12,07/01/2024,Decoración
699,Candelabro,$34.23,12,07/01/2024,Decoración
1150,Plancha de vapor,$33.63,10,07/01/2024,Electrodomésticos
1400,Plancha de vapor,$26.91,5,07/01/2024,Electrodomésticos
1496,Secadora,$95.33,11,07/01/2024,Electrodomésticos
1524,Aspiradora,$65.55,8,07/01/2024,Electrodomésticos
1550,Plancha de vapor,$51.51,7,07/01/2024,Electrodomésticos
2174,Auriculares,$116.04,11,07/01/2024,Electrónica
2773,Smartphone,$107.51,5,07/01/2024,Electrónica
2920,Consola de videojuegos,$29.49,2,07/01/2024,Electrónica
84,Jarrón decorativo,$37.05,4,08/01/2024,Decoración
349,Candelabro,$57.65,6,08/01/2024,Decoración
687,Elementos de cerámica,$27.68,8,08/01/2024,Decoración
696,Cortinas,$32.57,8,08/01/2024,Decoración
1734,Aspiradora,$50.86,4,08/01/2024,Electrodomésticos
2173,Smartphone,$54.19,12,08/01/2024,Electrónica
2283,Smartphone,$70.07,11,08/01/2024,Electrónica
2501,Parlantes Bluetooth,$87.78,1,08/01/2024,Electrónica
2918,SmartWatch,$82.18,10,08/01/2024,Electrónica
386,Cortinas,$85.71,8,09/01/2024,Decoración
599,Candelabro,$47.22,5,09/01/2024,Decoración
633,Espejo decorativo,$60.39,2,09/01/2024,Decoración
714,Jarrón decorativo,$42.46,8,09/01/2024,Decoración
871,Lámpara de mesa,$79.64,11,09/01/2024,Decoración
1132,Cafetera,$29.88,10,09/01/2024,Electrodomésticos
1443,Microondas,$67.39,8,09/01/2024,Electrodomésticos
1584,Aspiradora,$99.58,7,09/01/2024,Electrodomésticos
1617,Horno eléctrico,$68.53,8,09/01/2024,Electrodomésticos
1649,Batidora,$39.26,11,09/01/2024,Electrodomésticos
2917,Cámara digital,$120.87,7,09/01/2024,Electrónica
315,Alfombra,$122.07,9,10/01/2024,Decoración
553,Espejo decorativo,$96.29,9,10/01/2024,Decoración
817,Elementos de cerámica,$106.31,1,10/01/2024,Decoración
830,Adorno de pared,$67.23,10,10/01/2024,Decoración
854,Jarrón decorativo,$42.83,5,10/01/2024,Decoración
1090,Plancha de vapor,$66.15,8,10/01/2024,Electrodomésticos
1464,Aspiradora,$36.38,5,10/01/2024,Electrodomésticos
1933,Microondas,$46.05,6,10/01/2024,Electrodomésticos
308,Rincón de plantas,$31.70,11,11/01/2024,Decoración
718,Rincón de plantas,$29.88,8,11/01/2024,Decoración
804,Jarrón decorativo,$87.84,7,11/01/2024,Decoración
963,Espejo decorativo,$32.34,5,11/01/2024,Decoración
1167,Horno eléctrico,$119.70,6,11/01/2024,Electrodomésticos
1234,Aspiradora,$36.89,7,11/01/2024,Electrodomésticos
1319,Batidora,$79.98,12,11/01/2024,Electrodomésticos
1885,Lavadora,$120.75,10,11/01/2024,Electrodomésticos
2268,SmartWatch,$48.45,2,11/01/2024,Electrónica
2325,Auriculares,$117.43,11,11/01/2024,Electrónica
2761,Parlantes Bluetooth,$29.89,9,11/01/2024,Electrónica
243,Espejo decorativo,$55.61,1,12/01/2024,Decoración
1441,Freidora eléctrica,$52.57,11,12/01/2024,Electrodomésticos
2428,SmartWatch,$115.00,10,12/01/2024,Electrónica
2583,Smartphone,$67.93,10,12/01/2024,Electrónica
2980,Consola de videojuegos,$110.60,12,12/01/2024,Electrónica
88,Rincón de plantas,$109.33,9,13/01/2024,Decoración
501,Lámpara de mesa,$35.20,6,13/01/2024,Decoración
507,Elementos de cerámica,$111.10,1,13/01/2024,Decoración
